                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                  1.226,                0.74109,                 1.1455,                 0.8297,                0.86961,                0.88379,                0.47298,                 1.5652,                0.78094,                  1.364,             3.7909e-05,             3.7909e-05,             3.7909e-05
                     70,                 1.2194,                0.73495,                 1.1412,                0.84235,                0.85687,                0.88096,                 0.4685,                 1.5702,                0.78821,                 1.3791,              3.676e-05,              3.676e-05,              3.676e-05
                     71,                 1.2134,                0.73101,                 1.1388,                 0.8216,                0.88588,                0.88073,                 0.4683,                 1.5732,                0.78415,                 1.3768,             3.5612e-05,             3.5612e-05,             3.5612e-05
                     72,                 1.2059,                0.73357,                 1.1334,                0.83593,                0.85559,                0.88242,                0.46564,                 1.5748,                0.78824,                 1.3853,             3.4464e-05,             3.4464e-05,             3.4464e-05
                     73,                 1.1991,                0.72634,                 1.1353,                0.84377,                0.84859,                0.88307,                0.47261,                 1.5525,                0.77879,                 1.3663,             3.3315e-05,             3.3315e-05,             3.3315e-05
                     74,                 1.1952,                0.73136,                  1.128,                0.83023,                0.86553,                 0.8834,                0.46964,                 1.5671,                0.77835,                 1.3682,             3.2167e-05,             3.2167e-05,             3.2167e-05
                     75,                 1.1815,                0.71987,                 1.1337,                0.84067,                0.83657,                0.87872,                0.46547,                 1.5786,                0.79157,                  1.377,             3.1018e-05,             3.1018e-05,             3.1018e-05
                     76,                  1.198,                0.72334,                 1.1323,                 0.8405,                0.86089,                0.88416,                0.47074,                 1.5629,                0.79408,                  1.371,              2.987e-05,              2.987e-05,              2.987e-05
                     77,                  1.187,                0.71596,                 1.1276,                0.84688,                0.85662,                0.88459,                0.47108,                 1.5765,                0.78778,                 1.3733,             2.8722e-05,             2.8722e-05,             2.8722e-05
                     78,                 1.1994,                0.72646,                 1.1317,                0.83245,                0.86379,                0.87593,                0.46736,                 1.5865,                0.78822,                 1.3855,             2.7573e-05,             2.7573e-05,             2.7573e-05
                     79,                 1.1733,                0.71035,                 1.1231,                0.83662,                0.84654,                0.87809,                0.46731,                 1.5814,                0.79026,                 1.3865,             2.6425e-05,             2.6425e-05,             2.6425e-05
                     80,                 1.1894,                 0.7161,                 1.1308,                0.83964,                 0.8594,                0.87995,                0.46564,                 1.5892,                0.78733,                 1.3845,             2.5276e-05,             2.5276e-05,             2.5276e-05
                     81,                 1.1883,                 0.7156,                 1.1245,                0.84212,                0.85863,                 0.8791,                0.46523,                 1.5931,                0.79567,                 1.3927,             2.4128e-05,             2.4128e-05,             2.4128e-05
                     82,                 1.1657,                0.70989,                 1.1223,                0.84289,                0.86295,                0.87893,                0.46994,                 1.5728,                0.78456,                 1.3791,              2.298e-05,              2.298e-05,              2.298e-05
                     83,                 1.1752,                0.70986,                 1.1215,                0.83767,                0.86421,                 0.8802,                0.46626,                 1.5936,                0.78921,                 1.3909,             2.1831e-05,             2.1831e-05,             2.1831e-05
                     84,                 1.1703,                0.70551,                 1.1224,                0.84469,                 0.8644,                0.88441,                0.46959,                 1.5787,                0.78058,                 1.3846,             2.0683e-05,             2.0683e-05,             2.0683e-05
                     85,                 1.1607,                0.69636,                 1.1194,                0.83494,                0.86177,                0.88005,                0.46881,                  1.569,                0.78222,                 1.3828,             1.9534e-05,             1.9534e-05,             1.9534e-05
                     86,                 1.1675,                 0.7049,                 1.1172,                0.82882,                0.86967,                0.88331,                0.46984,                 1.5767,                0.78648,                 1.3801,             1.8386e-05,             1.8386e-05,             1.8386e-05
                     87,                  1.172,                0.70733,                   1.12,                0.83464,                0.86478,                0.88441,                0.46659,                 1.5907,                0.78993,                 1.3901,             1.7238e-05,             1.7238e-05,             1.7238e-05
                     88,                 1.1789,                0.71245,                 1.1193,                0.83899,                0.87054,                0.88522,                0.46847,                 1.5835,                0.78938,                 1.3902,             1.6089e-05,             1.6089e-05,             1.6089e-05
                     89,                  1.181,                0.70724,                 1.1183,                  0.841,                0.86844,                0.87865,                0.46481,                 1.5968,                0.79062,                 1.3969,             1.4941e-05,             1.4941e-05,             1.4941e-05
                     90,                 1.1537,                0.69447,                  1.107,                0.83841,                0.87027,                0.88334,                0.46849,                 1.5858,                0.78486,                 1.3914,             1.3792e-05,             1.3792e-05,             1.3792e-05
                     91,                 1.1922,                0.66676,                 1.1249,                0.82055,                0.84622,                0.86098,                0.45384,                 1.6042,                0.81272,                 1.4029,             1.2644e-05,             1.2644e-05,             1.2644e-05
                     92,                 1.1663,                0.64517,                 1.1112,                0.82774,                0.84799,                0.86731,                0.45735,                 1.6053,                0.80113,                 1.4061,             1.1496e-05,             1.1496e-05,             1.1496e-05
                     93,                 1.1557,                0.64069,                 1.0992,                0.81939,                0.86396,                0.87551,                0.46496,                  1.582,                0.79085,                 1.3899,             1.0347e-05,             1.0347e-05,             1.0347e-05
                     94,                 1.1493,                0.63922,                 1.1047,                0.83332,                0.85971,                0.88253,                0.46302,                 1.5966,                0.79642,                 1.3986,             9.1988e-06,             9.1988e-06,             9.1988e-06
                     95,                 1.1369,                0.63332,                 1.0957,                0.82581,                0.86544,                0.88164,                0.46488,                 1.5766,                0.79063,                 1.3888,             8.0504e-06,             8.0504e-06,             8.0504e-06
                     96,                 1.1327,                0.62825,                 1.0927,                0.83837,                0.85693,                0.88142,                0.46547,                 1.5834,                0.79502,                  1.393,              6.902e-06,              6.902e-06,              6.902e-06
                     97,                 1.1285,                0.62466,                 1.0928,                0.83134,                0.86165,                0.87617,                0.46476,                 1.5826,                0.79697,                 1.3917,             5.7536e-06,             5.7536e-06,             5.7536e-06
                     98,                  1.128,                0.62615,                 1.0972,                0.83926,                0.85876,                0.87847,                0.46403,                 1.5847,                0.79119,                 1.3966,             4.6052e-06,             4.6052e-06,             4.6052e-06
                     99,                 1.1327,                0.62814,                 1.0925,                0.83554,                0.86214,                0.87804,                0.46024,                 1.5927,                0.79688,                 1.3998,             3.4568e-06,             3.4568e-06,             3.4568e-06
                    100,                 1.1241,                0.62696,                 1.0897,                0.83671,                0.85897,                0.87607,                0.46004,                 1.5908,                0.79631,                 1.3975,             2.3084e-06,             2.3084e-06,             2.3084e-06
